brand,product_name,price,currency,country,sku
Saint Laurent,MOMBASA small in leather,3450.0,$,US,851432AAGWJ1000
Saint Laurent,MOMBASA medium in leather,4300.0,$,US,862029AAGWJ1000
Saint Laurent,MOMBASA large in leather,5600.0,$,US,A0011MAAGWJ1000
Saint Laurent,MOMBASA large in pony hair leather,6100.0,$,US,848811AAFPH1042
Saint Laurent,MOMBASA medium in vintage leather,4500.0,$,US,862029AAFDJ2551
Saint Laurent,MOMBASA medium in pony hair leather,4500.0,$,US,862029AAGE22077
Saint Laurent,MOMBASA small in alligator,25000.0,$,US,850571EABF53322
Saint Laurent,ICARINO mini in quilted nappa,2900.0,$,US,871329AAANG1000
Saint Laurent,ICARINO in quilted nappa,3100.0,$,US,851689AAANG1000
Saint Laurent,ICARINO in quilted suede,3100.0,$,US,8516891U8072916
Saint Laurent,ICARE hobo in quilted nappa,4300.0,$,US,858160AAANG1000
Saint Laurent,ICARE hobo in quilted suede,4500.0,$,US,858160AAF9P2916
Saint Laurent,ICARE Medium in quilted nappa,4700.0,$,US,858191AAANG1000
Saint Laurent,ICARE Medium in quilted suede,5100.0,$,US,858191AAF9P2916
Saint Laurent,ICARE medium in quilted nappa,4700.0,$,US,871494AAANG3212
Saint Laurent,ICARE in quilted nappa,5100.0,$,US,698651AAANG6195
Saint Laurent,ICARE in quilted lambskin,5100.0,$,US,698651AAANG1000
Saint Laurent,ICARE IN RAFFIA,5300.0,$,US,772191GAAEK2063
Saint Laurent,ICARE in raffia,5300.0,$,US,772191GAAFM1000
Saint Laurent,ICARE medium in wood beads,5000.0,$,US,862071KAAAZ9384
Saint Laurent,Oxalis in raffia,2500.0,$,US,773984GAAEB9718
Saint Laurent,Oxalis bag in raffia macramé,2500.0,$,US,781289GAAEA1000
Saint Laurent,JAMIE SHOPPING in raffia,4300.0,$,US,838876GAAFY2791
Saint Laurent,JAMIE SHOPPING SMALL IN LAMBSKIN,3800.0,$,US,833948AAB321000
Saint Laurent,small JAMIE SHOPPING in lambskin,3800.0,$,US,833948AAB323212
Saint Laurent,small JAMIE SHOPPING in suede,3800.0,$,US,8339481U8P73194
Saint Laurent,JAMIE mini shoulder pouch in lambskin,2450.0,$,US,859174AAB323212
Saint Laurent,JAMIE shoulder pouch in lambskin,3000.0,$,US,862712AAB321000
Saint Laurent,JAMIE shoulder pouch in suede,3200.0,$,US,8627121U8P72916
Saint Laurent,JAMIE mini shoulder pouch in suede,2450.0,$,US,8591741U8P72916
Saint Laurent,CASSANDRE large pouch on chain in lambskin,2100.0,$,US,841702AACYT1000
Saint Laurent,CASSANDRE large pouch on chain in shiny leather,3000.0,$,US,855802AADOO6195
Saint Laurent,CASSANDRE large pouch on chain in suede,2300.0,$,US,8558021U80W2916
Saint Laurent,CASSANDRE pouch on chain in pony hair leather,2300.0,$,US,853610AAFQT2499
Saint Laurent,CASSANDRE pouch on chain in lambskin,1950.0,$,US,853610AACYT1000
Saint Laurent,LE 5 À 7 supple small in suede,2900.0,$,US,8505331U80W2916
Saint Laurent,LE 5 À 7 supple small in pony hair leather,3400.0,$,US,713938AAD0J2790
Saint Laurent,LE 5 À 7 supple small IN GRAINED LEATHER,2750.0,$,US,713938AAAUQ1722
Saint Laurent,LE 5 À 7 supple large in suede,3400.0,$,US,8505451U80W2916
Saint Laurent,LE 5 À 7 supple large in grained leather,3200.0,$,US,850545AAAUQ7133
Saint Laurent,LE 5 À 7 supple large in raffia,2950.0,$,US,785381GAAEZ2791
Saint Laurent,LE 5 À 7 supple SMALL IN GRAINED LEATHER,2750.0,$,US,850533AAAUQ2536
Saint Laurent,LE 5 À 7 supple LARGE in grained leather,3200.0,$,US,753837AAAUQ1000
Saint Laurent,LE 5 À 7 SMALL BEA in grained leather,3600.0,$,US,779029AADUU1000
Saint Laurent,LE 5 À 7 BABY BEA in suede,2650.0,$,US,872469008IW2885
Saint Laurent,LE 5 À 7 BABY BEA in grained leather,2650.0,$,US,872469AADUU1000
Saint Laurent,LE 5 À 7 bea in grained leather,4100.0,$,US,763435AADUU1000
Saint Laurent,LE 5 À 7 SMALL BEA in suede,3400.0,$,US,779029008IW2885
Saint Laurent,LE 5 À 7 BEA in grained leather,4100.0,$,US,763435AAEQC1000
Saint Laurent,LE 5 À 7 BEA in suede,3700.0,$,US,763435008IW2885
Saint Laurent,LE 5 À 7 BEA in pony hair leather,5100.0,$,US,763435AAD0N2063
Saint Laurent,LE 5 À 7 BEA in grained leather,3700.0,$,US,763435AAAUQ6988
Saint Laurent,AMALIA in suede,4400.0,$,US,8347501U80W2916
Saint Laurent,AMALIA in satin,3700.0,$,US,834750FAFWZ7089
Saint Laurent,AMALIA hobo in lambskin,4200.0,$,US,862210AACX71000
Saint Laurent,AMALIA hobo in suede,4200.0,$,US,8622101U80W2916
Saint Laurent,AMALIA mini hobo in lambskin,2700.0,$,US,862558AACX71000
Saint Laurent,AMALIA mini hobo in suede,2700.0,$,US,8625581U80W2916
Saint Laurent,LOULOU toy crossbody in MATELASSÉ lambskin,2100.0,$,US,873156AAEAX1000
Saint Laurent,LOULOU MINI in lambskin,2150.0,$,US,860628AAEAX1000
Saint Laurent,LOULOU mini camera bag in lambskin,1850.0,$,US,869816AAEAX1000
Saint Laurent,LOULOU camera bag in MATELASSÉ lambskin,1950.0,$,US,869468AAEAX1000
Saint Laurent,LOULOU MINI in suede,2450.0,$,US,8606281U8272358
Saint Laurent,LOULOU small in MATELASSÉ lambskin,2750.0,$,US,801437AAEAX1000
Saint Laurent,LOULOU small in MATELASSÉ suede,3000.0,$,US,801437AAEY66766
Saint Laurent,LOULOU medium in MATELASSÉ lambskin,3100.0,$,US,801439AAEAX1000
Saint Laurent,LOULOU medium in MATELASSÉ suede,3500.0,$,US,801439AAEY66766
Saint Laurent,LOULOU large in MATELASSÉ lambskin,3400.0,$,US,803541AAEAX1000
Saint Laurent,LOULOU large in MATELASSÉ suede,3700.0,$,US,803541AAEY62358
Saint Laurent,SAC DE JOUR boston in smooth leather – small,3800.0,$,US,851694AAEOP3000
Saint Laurent,SAC DE JOUR boston in grained leather – small,3300.0,$,US,851694AAFU51000
Saint Laurent,SAC DE JOUR boston in suede – small,3450.0,$,US,8516941U80W2916
Saint Laurent,SAC DE JOUR in suede – SMALL,4500.0,$,US,8612311U80W2916
Saint Laurent,SAC DE JOUR in leather – SMALL,5700.0,$,US,861231AAGE13239
Saint Laurent,SAC DE JOUR in suede – BABY,2950.0,$,US,4218591U80W2916
Saint Laurent,SAC DE JOUR in leather – LARGE,6700.0,$,US,861230AAGD12456
Saint Laurent,SAC DE JOUR in grained leather – LARGE,5100.0,$,US,861230AAGBZ1057
Saint Laurent,SAC DE JOUR in suede – LARGE,5500.0,$,US,8612301U80W2916
Saint Laurent,Y slim tote in leather,3500.0,$,US,869462AAGNA1896
Saint Laurent,Y slim tote in velour leather,3500.0,$,US,869462AAGN52447
Saint Laurent,Y TOTE IN LEATHER,4300.0,$,US,817602AAEB31000
Saint Laurent,Y tote in leather,4300.0,$,US,817602AAEZ33212
Saint Laurent,Y tote in suede,4300.0,$,US,817602C0X0W2924
Saint Laurent,Y small tote in leather,3500.0,$,US,835274AAEB31000
Saint Laurent,TAKE-AWAY BOX IN LEATHER,1900.0,$,US,732657AABRS1000
Saint Laurent,TAKE-AWAY BOX IN VEGETABLE-TANNED LEATHER,1900.0,$,US,732657AABQ62734
Saint Laurent,KATE clutch in grain de poudre leather,2200.0,$,US,851921AAGBE1000
Saint Laurent,KATE clutch in patent leather,2250.0,$,US,851921AAEX16290
Saint Laurent,NEW KATE small in grain de poudre leather,2200.0,$,US,851504AAGBE1000
Saint Laurent,NEW KATE small in crocodile embossed leather,2400.0,$,US,8515042US0W2547
Saint Laurent,SUNSET MEDIUM IN SMOOTH LEATHER,2800.0,$,US,442906D420W1000
Saint Laurent,SUNSET small in crocodile embossed leather,3000.0,$,US,4419722US0W2547
Saint Laurent,SUNSET MEDIUM IN CROCODILE-EMBOSSED LEATHER,3050.0,$,US,442906DND0J1000
Saint Laurent,SUNSET small in patent leather,2900.0,$,US,441972AAEX16290
Saint Laurent,SUNSET MEDIUM IN CROCODILE-EMBOSSED LEATHER,3200.0,$,US,4429062US0W6991
Saint Laurent,JAMIE SHOPPING in lambskin,4200.0,$,US,809824AAB321000
Saint Laurent,JAMIE shopping in suede,4200.0,$,US,8098241U8P73194
Saint Laurent,JAMIE SHOPPING small in lambskin,3800.0,$,US,833948AAB321799
Saint Laurent,JAMIE large pochon in lambskin,3800.0,$,US,828350AAB321000
Saint Laurent,JAMIE POCHON in lambskin,3400.0,$,US,781666AAB322186
Saint Laurent,NIKI TRIPOUCH in vintage leather,3500.0,$,US,8129430EN071000
Saint Laurent,NIKI medium in vintage leather,3200.0,$,US,6331840EN076195
Saint Laurent,NIKI shopping in vintage leather,3200.0,$,US,8711510EN071000
Saint Laurent,NIKI small shopping in vintage leather,2600.0,$,US,8726800EN071000
Saint Laurent,NIKI small shopping in vintage leather,3400.0,$,US,8622950EN071000
Saint Laurent,NIKI baby in vintage leather,2950.0,$,US,6331850EN071000
Saint Laurent,NIKI BABY IN VINTAGE LEATHER,2950.0,$,US,6331850EN081000
Saint Laurent,NIKI mini in vintage leather,1950.0,$,US,8460870EN071000
Saint Laurent,NIKI mini in raffia,2100.0,$,US,838536GAAFY2791
Saint Laurent,NIKI mini in grained lambskin,2100.0,$,US,828736AACYT1000
Saint Laurent,NIKI mini in canvas and leather,1900.0,$,US,828736FAEFF9856
Saint Laurent,NIKI medium in raffia,3300.0,$,US,838875GAAFY2791
Saint Laurent,NIKI MEDIUM IN VINTAGE LEATHER,3150.0,$,US,6331580EN041000
Saint Laurent,NIKI MEDIUM IN VINTAGE LEATHER,3250.0,$,US,6331840EN081000
Saint Laurent,NIKI Large shopping in crinkled vintage leather,2950.0,$,US,5779980EN041000
Saint Laurent,NIKI SHOPPING IN VINTAGE LEATHER,2700.0,$,US,5779990EN049207
Saint Laurent,Niki satchel in leather,2700.0,$,US,718556AAD391000
Saint Laurent,NIKI satchel in suede,2450.0,$,US,7185561U80W2326
Saint Laurent,GABY vanity in lambskin,2300.0,$,US,7667311EL071000
Saint Laurent,GABY vanity in suede,2300.0,$,US,7667311U8272138
Saint Laurent,GABY vanity in patent leather,2300.0,$,US,810932AAEAR2175
Saint Laurent,POCHON in lambskin,1750.0,$,US,8010701EL0W1000
Saint Laurent,POCHON in suede,1900.0,$,US,8010701U80W2916
Saint Laurent,EVENING soft clutch in satin,1450.0,$,US,851585FAC131000
Saint Laurent,LE 5 À 7 large in wood beads,2900.0,$,US,823807KAAAZ9384
Saint Laurent,supple bucket in wood beads,2300.0,$,US,821911KAAA41000
Saint Laurent,LE 5 À 7 in wood beads,2700.0,$,US,862997KAAAZ9384
Saint Laurent,PANIER small in wood beads,4200.0,$,US,862075KAAAZ9384
Saint Laurent,PANIER Medium bag in raffia,2000.0,$,US,761457GAAAC2080
Saint Laurent,PANIER Small bag in raffia,1600.0,$,US,761461GAAAC2080
Saint Laurent,mini Manon in raffia,1850.0,$,US,774269GAAED9051
Saint Laurent,LOU camera bag in quilted leather,1950.0,$,US,761554DV7071000
Saint Laurent,LOU camera bag in quilted leather,1900.0,$,US,761554DV7081000
Saint Laurent,Mini NOLITA IN LAMBSKIN,1600.0,$,US,6727381EL071000
Saint Laurent,mini NOLITA in lambskin,1600.0,$,US,672738AAEAX6197
Saint Laurent,GABY bucket bag in lambskin,2450.0,$,US,7639611EL071000
Saint Laurent,GABY ZIPPERED POUCH IN LAMBSKIN,1450.0,$,US,7336671EL071000
Saint Laurent,Gaby zipped pouch in quilted lambskin,1450.0,$,US,7336671EL076195
Saint Laurent,GABY zipped pouch in quilted lambskin,1450.0,$,US,7336671EL072760
Saint Laurent,GABY zipped pouch in suede,1700.0,$,US,7336671U8073194
Saint Laurent,LE 5 À 7 supple small in grained leather,2750.0,$,US,850533AAAUQ1997
Saint Laurent,LE 5 À 7 supple small in grained nubuck,2800.0,$,US,850533AAEEL1488
Saint Laurent,LE 5 À 7 supple SMALL in grained leather,2750.0,$,US,850533AACQG1000
Saint Laurent,LE 5 À 7 supple baby in grained leather,1900.0,$,US,809461AADUU3212
Saint Laurent,LE 5 À 7 supple small in crocodile-embossed leather,2900.0,$,US,8505332US0W6991
Saint Laurent,LE 5 À 7 in crocodile-embossed patent leather,2750.0,$,US,657228AAGKR1000
Saint Laurent,LE 5 À 7 in smooth leather,2500.0,$,US,6572282R20W1000
Saint Laurent,le 5 à 7 in patent leather,2500.0,$,US,657228B870W6413
Saint Laurent,MINI LE 5 À 7 IN SMOOTH LEATHER,1900.0,$,US,7103182R20W1000
Saint Laurent,mini LE 5 À 7 in patent leather,1900.0,$,US,710318B870W6259
Saint Laurent,MINI LE 5 À 7 IN PATENT LEATHER,1900.0,$,US,710318B870W1000
Saint Laurent,MIDNIGHT large clutch in smooth leather,2200.0,$,US,697658AAAML1000
Saint Laurent,Midnight small clutch in smooth leather,1950.0,$,US,697655AAAML1000
Saint Laurent,Toy Puffer in lambskin,2490.0,$,US,7593371EL071000
Saint Laurent,Toy Puffer in shiny leather,2500.0,$,US,759337AAFFA6593
Saint Laurent,Toy PUFFER in suede,2700.0,$,US,7593371U8073212
Saint Laurent,PUFFER SMALL in lambskin,3300.0,$,US,5774761EL071000
Saint Laurent,PUFFER small in shiny leather,3550.0,$,US,577476AAFE16593
Saint Laurent,PUFFER MEDIUM in lambskin,3650.0,$,US,5774751EL071000
Saint Laurent,PUFFER medium in shiny leather,4300.0,$,US,577475AAFE16593
Saint Laurent,PUFFER SMALL in suede,3450.0,$,US,5774761U8377761
Saint Laurent,Toy PUFFER in nappa leather,2490.0,$,US,7593371EL073212
